,Condition,Drugs
2013,"Cystinosis, Nephropathic",[Cysteamine]
2014,Coronary Death,[Pravastatin]
2015,Familial Adenomatous Polyposis (FAP),[Celecoxib]
2016,Skin Ulcers,[Becaplermin]
2017,"Chronic, severe Salivary hypersecretion",[Glycopyrronium]
2018,Cardiovascular Outcomes,[Pravastatin]
2019,Refractory Leukemia,[Amsacrine]
2020,Chronic Atrial Fibrillation,[Digoxin]
2021,Mild to moderate heart failure,[Digoxin]
2022,Abnormal vascularity of the brain,[Gadoteridol]
2023,Prophylaxis of Contrast-induced nephropathy,[Sodium bicarbonate]
2024,"Refractory, metastatic Pancreatic adenocarcinoma",[Irinotecan]
2025,Mild Dementia due to Parkinson's disease,[Rivastigmine]
2026,Candida pneumonia,[Fluconazole]
2027,"Bites, Human",[Sulbactam]
2028,Cystic fibrosis pulmonary exacerbation caused by Pseudomonas aeruginosa,[Levofloxacin]
2029,Hereditary transthyretin-mediated amyloidosis,[Patisiran]
2030,Refractory Chronic idiopathic constipation,[Prucalopride]
2031,Atrioventricular (AV) block,[Atropine]
2032,Tetrahydrobiopterin Deficiencies,[Sapropterin]
2033,Dermatitis infected,[Gentamicin]
2034,Treatment Resistant Depression (TRD),[Esketamine]
2035,Calcinosis,[Magaldrate]
2036,Perioperative bleeding caused by Hemophilia B,[Anti-inhibitor coagulant complex]
2037,Perioperative bleeding caused by Hemophilia A,[Anti-inhibitor coagulant complex]
2038,Furunculosis,[Gentamicin]
2039,Peritoneal candidiasis,[Fluconazole]
2040,Refractory B cell precursor Acute lymphoblastic leukemia,[Blinatumomab]
2041,Postpartum pain,[Ketoprofen]
2042,Acute cellular rejection,[Antithymocyte immunoglobulin (rabbit)]
2043,Necrotic tissue,[Collagenase clostridium histolyticum]
2044,Varicosities of the great saphenous vein,[Polidocanol]
2045,Pediatric Hypertension,[Valsartan]
2046,Hydatidiform Mole,[Methotrexate]
2047,Human Immunodeficiency Virus (HIV),[Nevirapine]
2048,Acute Bacterial Skin and Skin Structure Infections caused by Staphylococcus Aureus,[Delafloxacin]
2049,Unresponsive to topical ocular inflammation,[Triamcinolone]
2050,Third Degree Burns,[Mafenide]
2051,Refractory Acne vulgaris,[Isotretinoin]
2052,Acute Bacterial Skin and Skin Structure Infections caused by Staphylococcus Lugdunensis,[Delafloxacin]
2053,Recurrent Herpes Labialis,[Acyclovir]
2054,"Unresectable, metastatic gastroenteropancreatic neuroendocrine tumors",[Lanreotide]
2055,Refractory Hypercalcemia of malignancy,[Denosumab]
2056,Cutaneous ulcers,[Bendazac]
2057,Squamous Cell Carcinoma of Lung,[Methotrexate]
2058,Neonatal Sepsis,[Amikacin]
2059,Symptomatic Atrial flutter,[Dofetilide]
2060,Inhalational Anthrax (Post-Exposure),[Doxycycline]
2061,Gram-negative enteric bacilli neonatal sepsis,[Gentamicin]
2062,Non-psychotic generalized anxiety,[Prochlorperazine]
2063,C Prostatic Carcinoma,[Flutamide]
2064,Hypervolemic Hyponatremia,[Conivaptan]
2065,Lower Limb Spasticity,[Botulinum toxin type A]
2066,Immune Thrombocytopenia,[Azathioprine]
2067,Pulmonary cryptococcosis infection,[Posaconazole]
2068,Intraabdominal Abscess caused by Candida,[Anidulafungin]
2069,Fungal ear infection caused by Aspergillus niger,[Clioquinol]
2070,Inflammatory Disease of the throat,[Diclofenac]
2071,Urinary tract infection caused by E. coli,[Pivmecillinam]
2072,Adhesive capsulitis shoulder,[Tolmetin]
2073,Urinary tract infection caused by enterobacteria,[Pivmecillinam]
2074,Locally advanced Gastrointestinal stromal tumor,[Regorafenib]
2075,"Predominant skin comedones, papules and pustules",[Erythromycin]
2076,Recurrent Rheumatic fever,[Sulfadiazine]
2077,Enuresis,[Imipramine]
2078,Pyschosomatic disease,[Chlordiazepoxide]
2079,Acute Bacterial Skin and Skin Structure Infections caused by Streptococcus Agalactiae,[Delafloxacin]
2080,Magnesium Deficiency,[Magnesium chloride]
2081,Unresectable Skin Lesion,[Talimogene laherparepvec]
2082,Neuromuscular blockade caused by vecuronium bromide,[Sugammadex]
2083,"Equinus deformity of foot, acquired",[Botulinum toxin type A]
2084,Vulvar Cancers,[Bleomycin]
2085,Maintenance therapy Duodenal ulcer,[Cimetidine]
2086,Severe Fungal infection caused by Conidiobolus spp.,[Amphotericin B]
2087,Chest congestion,[Guaifenesin]
2088,Tinea barbae,[Griseofulvin]
2089,Lesions in the head and neck,[Gadoteridol]
2090,"Refractory, metastatic Colorectal carcinoma",[Capecitabine]
2091,Intermediate risk Myelofibrosis,[Ruxolitinib]
2092,Acute Idiopathic Nephrotic Syndrome,[Bupivacaine]
2093,Stage III Hodgkin's Disease,[Procarbazine]
2094,Perioperative procedures,"[Antihemophilic factor, human recombinant]"
2095,Disseminated tuberculosis,[Prednisone]
2096,Node Positive Breast Cancer,[Docetaxel]
2097,PTSD Symptoms,[Mirtazapine]
2098,Hereditary tyrosinemia type-1,[Nitisinone]
2099,Connective Tissue Disorders,[Ciclosporin]
2100,Hyperkeratosis,[Salicylic acid]
2101,Chapped skin,[Triamcinolone]
2102,Central Nervous System Lymphoma,[Methotrexate]
2103,Recurrent Herpes simplex of the genital,[Famciclovir]
2104,Premature Ovarian Failure (POF),[Conjugated estrogens]
2105,Asymptomatic Left ventricular dysfunction,[Enalapril]
2106,Fungal endocarditis,[Flucytosine]
2107,Strongyloides Stercoralis Infection,[Mebendazole]
2108,Angioedema caused by ACE inhibitors,[Icatibant]
2109,Stage T4 carcinoma of the prostate,[Goserelin]
2110,Mild Dementia,[Galantamine]
2111,Spastic bladder,[Hyoscyamine]
2112,Tracheo-bronchial secretion excess,[Hyoscyamine]
2113,Ariboflavinosis,[Riboflavin]
2114,"Refractory, accelerated phase Chronic myelogenous leukemia",[Bosutinib]
2115,Postendoscopy Bleeding,[Esomeprazole]
2116,Non-neoplastic lesion,[Iopromide]
2117,Ethylene glycol overdose,[Ethanol]
2118,Bacterial Infection caused by E. coli,[Kanamycin]
2119,Complicated Pyelonephritis caused by Escherichia coli,[Ciprofloxacin]
2120,"Seizure, multiple types",[Valproic Acid]
2121,Previously treated with an HCV regimen containing an NS5A inhibitor Chronic hepatitis C genotype 5,[Voxilaprevir]
2122,Previously treated with an HCV regimen containing an NS5A inhibitor Chronic hepatitis C genotype 4,[Voxilaprevir]
2123,Fulminating Pulmonary Tuberculosis,[Hydrocortisone]
2124,Schizoaffective Disorders,[Paliperidone]
2125,Severe Supraventricular Tachycardias,[Flecainide]
2126,Acne vulgaris of the face,[Adapalene]
2127,Postoperative Tachycardia,[Esmolol]
2128,Prinzmetal's variant angina,[Verapamil]
2129,"Renal angiomyolipoma, tuberous sclerosis complex",[Everolimus]
2130,Severe Hyperlipidemia,[Niacin]
2131,Sexually Transmitted Infections (STIs),[Demeclocycline]
2132,Previously treated with an HCV regimen containing an NS5A inhibitor Chronic hepatitis C genotype 2,[Voxilaprevir]
2133,Ecthyma,[Gentamicin]
2134,Throat infection,[Dichlorobenzyl alcohol]
2135,Viral Infections,[Glycyrrhizic acid]
2136,Excess of uric acid in blood,[Probenecid]
2137,Uncomplicated Malaria caused by Plasmodium falciparum,[Lumefantrine]
2138,Adenocarcinoma of the Stomach,[Mitomycin]
2139,Steroid resistant Heart transplant rejection,[Muromonab]
2140,Anticoagulant effects of dabigatran,[Idarucizumab]
2141,Catheter site calcification caused by struvite,[Citric acid]
2142,Typhoid fever caused by Salmonella typhi,[Ciprofloxacin]
2143,Acute Bacterial Skin and Skin Structure Infections caused by Pseudomonas Aeruginosa,[Delafloxacin]
2144,Postoperative respiratory depression,[Doxapram]
2145,Neurotrophic Keratitis,[Cenegermin]
2146,"Progressive, refractory, primary intolerance with conventional therapy, recurrent Hemophagocytic Lymphohistiocytosis",[Emapalumab]
2147,Neurogenic Bowel Dysfunction,[Hyoscyamine]
2148,Healed erosive esophagitis,[Dexlansoprazole]
2149,"Hypotension caused by Trauma, endotoxic septicemia, Open-heart Surgery, Renal Failure, chronic cardiac decompensation, Myocardial Infarction",[Dopamine]
2150,Fungal meningitis caused by Exserohilum Infection,[Voriconazole]
2151,Severe Transfusion Reactions,[Betamethasone]
2152,Post-operative infection,[Moxifloxacin]
2153,Chemotherapy Induced Neutropenia,[Pegfilgrastim]
2154,"Lymphoma, Diffuse",[Mechlorethamine]
2155,Mild Intermittent Asthma,[Epinephrine]
2156,Muscle Cramps,[Capsaicin]
2157,Klebsiella Infections,[Tetracycline]
2158,"Corticosteroid responsive, Inflammatory Dermatosis",[Hydrocortisone butyrate]
2159,"Rejection, Transplant",[Prednisolone]
2160,Incompetent accessory saphenous veins,[Polidocanol]
2161,Thyroiditis,[Prednisone]
2162,Complicated intra-abdominal bacterial infections,[Tazobactam]
2163,Withdrawal Symptoms,[Phenobarbital]
2164,Exogenous depression,[Phenelzine]
2165,"Unresectable, locally advanced enteropancreatic neuroendocrine tumors",[Lanreotide]
2166,Refractory Hepatocellular Carcinoma,[Nivolumab]
2167,Chronic Intestinal amebiasis,[Paromomycin]
2168,Performance Anxiety,[Propranolol]
2169,Carnitine Deficiency,[Levocarnitine]
2170,"Depression, Anxiety",[Oxazepam]
2171,Problems of growth and stature,[L-Arginine]
2172,Malignant Neoplasm of Colon,[Fluorouracil]
2173,Pathological hypersecretory conditions,[Pantoprazole]
2174,Complete atrioventricular heart block,[Epinephrine]
2175,"Severe Life-threatening, uncontrollable Bleeding",[Andexanet alfa]
2176,"Invasive, refractory Aspergillosis",[Caspofungin]
2177,Itching of the eye,[Nedocromil]
2178,Mucositis,[Sucralfate]
2179,Premature Ventricular Contractions,[Bisoprolol]
2180,Minor aches and pains,[Acetaminophen]
2181,Advanced androgen dependent Prostate cancer,[Estradiol]
2182,"Refractory, blast crisis Chronic myeloid leukemia",[Imatinib]
2183,Specific infections by free-living amoebae,[Miltefosine]
2184,Crying,[Atropine]
2185,Previously treated with an HCV regimen containing an NS3/4A protease inhibitor Chronic Hepatitis C Genotype 1,[Glecaprevir]
2186,Candidal cystitis,[Amphotericin B]
2187,Postoperative Hemorrhages,"[Antihemophilic factor, human recombinant]"
2188,Body Fluid Retention,[Indapamide]
2189,Bulimia,[Amitriptyline]
2190,Autosomal Dominant Polycystic Kidney Disease （ADPKD),[Tolvaptan]
2191,Advanced Medullary thyroid cancer,[Dacarbazine]
2192,Corneal injuries,[Prednisolone]
2193,Fibrocystic Disease of Breast,[Danazol]
2194,Acute otitis media caused by S.pneumoniae,[Cefdinir]
2195,Acquired Thrombotic Thrombocytopenic Purpura,[Caplacizumab]
2196,Chronic Musculoskeletal Pain,[Duloxetine]
2197,Pelvic Infections,[Ertapenem]
2198,Refractory HIV-1 Infection,[Ibalizumab]
2199,Mild Bleeding,[Fibrinogen Human]
2200,NYHA Functional Class III Pulmonary arterial hypertension,[Treprostinil]
2201,"Leishmaniasis, Cutaneous",[Miltefosine]
2202,Inflammatory carcinoma of the breast,[Pertuzumab]
2203,Minor gum inflammation,[Perboric acid]
2204,Beta-lactam antibiotic allergy,[Benzylpenicilloyl Polylysine]
2205,Wuchereria bancroftii infection,[Ivermectin]
2206,Malignant Hyperthermia,[Dantrolene]
2207,Severe Coccidioidomycosis,[Amphotericin B]
2208,Relapsed Small cell lung cancer,[Topotecan]
2209,Moderate restless leg syndrome,[Rotigotine]
2210,Methanol overdose,[Ethanol]
2211,Varicella,[Rubella virus vaccine]
2212,"Unresectable, locally advanced gastroenteropancreatic neuroendocrine tumors",[Lanreotide]
2213,Teething pain,[Benzocaine]
2214,Intraoperative Tachycardia,[Esmolol]
2215,Ventilator-Associated Pneumonia (VAP),[Tazobactam]
2216,"Symptomatic, recurrent Atrial Fibrillation",[Dofetilide]
2217,Untreated with antiretrovirals HIV-1,[Bictegravir]
2218,Pseudobulbar affect,[Quinidine]
2219,"Conjunctivitis, Giant Papillary",[Lodoxamide]
2220,Stage IV Hodgkin's Disease,[Procarbazine]
2221,Acute Ischemic Stroke (AIS),[Alteplase]
2222,Micturition Disorder,[Phenoxybenzamine]
2223,Otomycosis caused by Aspergillus niger,[Flumethasone]
2224,Acute Allergic Reactions,[Promethazine]
2225,"Recurrent, metastatic Head and Neck Squamous Cell Carcinoma",[Pembrolizumab]
2226,Acute Pyelonephritis,[Levofloxacin]
2227,Menstrual Migraines,[Frovatriptan]
2228,Locally Advanced Biliary Tract Cancer,[Gemcitabine]
2229,"Paralysis, Hyperkalemic Periodic",[Diclofenamide]
2230,Tinea Cruris caused by Trichophyton rubrum,[Ketoconazole]
2231,Breast Cancer Stage III,[Epirubicin]
2232,Refractory Nausea and vomiting,[Nabilone]
2233,VZV re-activation,[Acyclovir]
2234,"Stomatitis, Aphthous",[Thalidomide]
2235,Neurocostal neuralgia,[Methotrimeprazine]
2236,Metastatic Leiomyosarcoma,[Trabectedin]
2237,Idiopathic hyperaldosteronism,[Spironolactone]
2238,Gonococcal infection of pharynx,[Ceftriaxone]
2239,Pneumonia cryptococcal,[Fluconazole]
2240,Idiopathic Dilated Cardiomyopathy,[Diltiazem]
2241,Lower respiratory tract infection caused by Proteus mirabilis,[Ciprofloxacin]
2242,Ab externo surgery Glaucoma,[Mitomycin]
2243,Digoxin toxicity,[Digoxin Immune Fab (Ovine)]
2244,Initial phase Tuberculosis,[Rifampicin]
2245,"Shigellosis caused by Shigella sonnei, Shigella flexneri",[Trimethoprim]
2246,Acute Exacerbations of Chronic Bronchitis caused by Moraxella catarrhalis,[Cefaclor]
2247,Nephrotic syndrome with lesion of minimal change glomerulonephritis,[Chlorambucil]
2248,Moderate Onychomycosis,[Ciclopirox]
2249,Entamoeba histolytica,[Metronidazole]
2250,Inflammatory lessions of lichen sumplex,[Bupivacaine]
2251,"Chronic, steroid refractory Graft versus host disease",[Pentostatin]
2252,Genital erythema,[Bendazac]
2253,Persistent Cutaneous T-Cell Lymphoma,[Vorinostat]
2254,Advanced Motor fluctuations,[Levodopa]
2255,Moderate Uterine Fibroids,[Ulipristal]
2256,Amyloidosis,[Melphalan]
2257,Colorectal Polyps,[Sulindac]
2258,Malaria caused by Plasmodium malariae,[Hydroxychloroquine]
2259,Bullous Systemic Lupus Erythematosus,[Dapsone]
2260,Uncomplicated Escherichia urinary tract infection,[Fosfomycin]
2261,"Refractory, relapsed Hodgkin Lymphoma",[Pembrolizumab]
2262,Graft Failure,[Sargramostim]
2263,Sedation caused by benzodiazepine,[Flumazenil]
2264,Otitis Media caused by susceptible pneumococci,[Procaine benzylpenicillin]
2265,"Symptomatic Tinea Pedis caused by Trichophyton mentagrophytes, Trichophyton rubrum, Epidermophyton floccosum",[Clotrimazole]
2266,Advanced gastro-esophageal junction adenocarcinoma,[Ramucirumab]
2267,Gallstone formation,[Ursodeoxycholic acid]
2268,Severe Pneumococcal infection,[Benzylpenicillin]
2269,Wound site,[Perboric acid]
2270,Inevitable abortion,[Oxytocin]
2271,Cutaneous candidiasis infection,[Miconazole]
2272,Moderate to severe pemphigus vulgaris,[Rituximab]
2273,Pellagra,[Niacin]
2274,Active Gastric ulcer,[Cimetidine]
2275,Hypovolaemia,[Hydroxyethyl Starch]
2276,Delayed chemotherapy induced nausea and vomiting,[Palonosetron]
2277,Non-infectious Posterior Uveitis Chronic Uveitis,[Fluocinolone acetonide]
2278,Relapsed Hepatocellular carcinoma,[Mitoxantrone]
2279,"Esophagus, Barrett",[Porfimer sodium]
2280,Symptomatic Vitreomacular Adhesion,[Ocriplasmin]
2281,Onchocerciasis,[Ivermectin]
2282,Prophylaxis of preeclampsia,[Hydrochlorothiazide]
2283,Clostridial Infection,[Benzylpenicillin]
2284,Pre-excited atrial fibrillation,[Procainamide]
2285,Urination urgency of,[Propiverine]
2286,"Refractory, advanced Mycosis fungoides",[Temozolomide]
2287,"Dermatitis, Allergic Contact",[Clobetasone]
2288,Cystic tumors of tendon,[Bupivacaine]
2289,Accelerated phase chronic myologenic leukemia,[Ponatinib]
2290,Incompetent great saphenous veins,[Polidocanol]
2291,Mild Dysentery,[Hyoscyamine]
2292,Mycobacterial Infection,[Clarithromycin]
2293,Metastatic radioactive iodine-refractory Thyroid cancer,[Lenvatinib]
2294,Postencephalitic parkinsonism,[Levodopa]
2295,Moderate Dementia due to Parkinson's disease,[Rivastigmine]
2296,Nondiabetic proteinuric chronic kidney disease,[Ramipril]
2297,Complicated Urinary tract infection caused by klebsiella pneumoniae,[Vaborbactam]
2298,Pyrimethamine hematologic toxicity,[Leucovorin]
2299,Inflammatory lessions of lichen planus,[Bupivacaine]
2300,Thyrotropin dependent Thyroid cancer,[Levothyroxine]
2301,Symptomatic hypervolemic Hyponatremia,[Tolvaptan]
2302,Non-familial hyperlipidemia,[Atorvastatin]
2303,Salicylate poisoning,[Sodium bicarbonate]
2304,"Deficiency, Vitamin",[Niacin]
2305,Rubella,[Rubella virus vaccine]
2306,Peyronie’s disease,[Collagenase clostridium histolyticum]
2307,Sexual dysfunction caused by monoamine oxidase inhibitors,[Cyproheptadine]
2308,"Refractory, locally advanced Non small cell lung cancer",[Docetaxel]
2309,Catheter site calcification caused by appatite,[Citric acid]
2310,Moderate Metabolic acidosis,[Lactic acid]
2311,Mild Musculoskeletal Disorder,[Orphenadrine]
2312,Gastrointestinal Discomfort,[Pancrelipase]
2313,Nasal symptoms,[Desloratadine]
2314,Hypogonadism,[Lutropin alfa]
2315,Poisoning caused by anticholinesterases,[Hyoscyamine]
2316,Pustular Psoriasis,[Gentamicin]
2317,Angle Closure Glaucoma,[Acetazolamide]
2318,Neuroendocrine Carcinoma of the Skin,[Carboplatin]
2319,Inflammatory lesions of granuloma annulare,[Bupivacaine]
2320,Nonleukemic meningeal cancer,[Methotrexate]
2321,Ethylene glycol poisoning,[Fomepizole]
2322,Dehydration,[Sodium chloride]
2323,Abortion induced incomplete,[Oxytocin]
2324,Complicated Pyelonephritis,[Tazobactam]
2325,Moderate Musculoskeletal Disorder,[Orphenadrine]
2326,Breast Cancer Stage II,[Epirubicin]
2327,Anal Fissures,[Diltiazem]
2328,Peroxisomal Disorders,[Cholic Acid]
2329,Epilepsies,[Clobazam]
2330,Leptomeningeal Metastases,[Cytarabine]
2331,Cutaneous lesions,[Alitretinoin]
2332,Dermatomycoses,[Itraconazole]
2333,Addison's Disease,[Fludrocortisone]
2334,Metastatic Squamous cell carcinoma of head and neck,[Docetaxel]
2335,Respiratory Distress,[Epinephrine]
2336,Second Degree Burns,[Mafenide]
2337,Conditions where a reduction of gastric acid secretion is required,[Pantoprazole]
2338,Acute exacerbation of chronic bronchitis caused by Haemophilus parainfluenzae,[Cefdinir]
2339,Dyshidrosis,[Bendazac]
2340,Hyperparathyroidism,[Magaldrate]
2341,Glioblastoma Multiforme (GBM),[Temozolomide]
2342,Respiratory Allergy,[Cetirizine]
2343,"Refractory, locally advanced Urothelial Carcinoma",[Nivolumab]
2344,Papillary transitional cell carcinoma of bladder,[Thiotepa]
2345,Congenital Heart Disease (CHD),[Etacrynic acid]
2346,CNS abnormal vascularity,[Gadobutrol]
2347,Moderate dementia of the Alzheimer's type,[Memantine]
2348,Previously untreated Chronic lymphocytic leukemia,[Obinutuzumab]
2349,Rapid Eye Movement Sleep Disorder,[Clonazepam]
2350,Mild Allergic Rhinitis,[Doxylamine]
2351,Diabetic diarrhea,[Clonidine]
2352,Pruritic dermatosis,[Benzocaine]
2353,Left Ventricular Systolic Dysfunction,[Trandolapril]
2354,Episodic Cluster Headache,[Galcanezumab]
2355,Arteriosclerotic Parkinsonism,[Trihexyphenidyl]
2356,Chronic eczematous otitis externa,[Fluocinolone acetonide]
2357,"Severe, recalcitrant Plaque psoriasis",[Ciclosporin]
2358,Scarlet Fever caused by susceptible streptococci,[Procaine benzylpenicillin]
2359,Uric acid lithiasis,[Potassium Citrate]
2360,"Chronic, recurrent Urinary Tract Infection caused by Klebsiella Enterobacter, Staphylococcus, Proteus mirabilis, Proteus vulgaris, Escherichia Coli",[Acetyl sulfisoxazole]
2361,Severe Erythema multiforme,[Triamcinolone]
2362,Acute benign gastric ulcers,[Famotidine]
2363,Meibomianitis,[Gentamicin]
2364,Corneal Ulcers caused by Serratia marcescens,[Ciprofloxacin]
2365,Excessive Daytime Sleepiness,[Sodium oxybate]
2366,Minimal Change Nephrotic Syndrome (MCNS),[Cyclophosphamide]
2367,Urethrotrigonitis,[Flavoxate]
2368,Bronchial Spasm,[Atropine]
2369,"Newly diagnosed, chronic phase Chronic myeloid leukemia",[Imatinib]
2370,Brain Stem Gliomas,[Carmustine]
2371,Mild Streptococcal tonsillitis,[Cefuroxime]
2372,Active systemic Juvenile idiopathic arthritis,[Canakinumab]
2373,Sycosis barbae,[Gentamicin]
2374,HIV -1 Infection,[Tenofovir disoproxil]
2375,Salivary hypersecretion,[Glycopyrronium]
2376,Apprehension,[Chlorpromazine]
2377,Red eye,[Pheniramine]
2378,Severe Muscle Spasm,[Chlorzoxazone]
2379,Perioperative miosis,[Diclofenac]
2380,Poisoning caused by mushrooms,[Atropine]
2381,"Severe, recalcitrant Cystic acne",[Tretinoin]
2382,Abnormal vascularity of the spine,[Gadoteridol]
2383,Inoperable Adrenocortical carcinoma,[Mitotane]
2384,Refractory Partial Onset Seizures,[Ezogabine]
2385,Ventricular Tachyarrhythmias,[Atenolol]
2386,"Pneumonia, Hospital-Acquired",[Tazobactam]
2387,Diabetic Foot Infection,[Sulfamethoxazole]
2388,Ulcerative Proctitis,[Mesalazine]
2389,Acute Bacterial Skin and Skin Structure Infections caused by Streptococcus anginosus,[Delafloxacin]
2390,Oligodendrogliomas,[Procarbazine]
2391,Inflammatory papular lesions,[Erythromycin]
2392,Community aquired pneumonia caused by M.catarrhalis,[Cefdinir]
2393,Perinatal group B streptococcus,[Ampicillin]
2394,Muscarinic side effects,[Atropine]
2395,Refractory Ewing Sarcoma,[Temozolomide]
2396,Ovarian Cancer Stage III,[Altretamine]
2397,Aggressive Behavior,[Haloperidol]
2398,Triple Negative Breast Cancer (TNBC),[Atezolizumab]
2399,Erysipelas,[Procaine benzylpenicillin]
2400,Metastatic Squamous Cell Carcinoma of the Head and Neck,[Cetuximab]
2401,"Graft Versus Host Disease, Acute",[Pentostatin]
2402,Dental Health,[Sodium fluoride]
2403,Acute Exacerbation of Chronic Bronchitis caused by Haemophilus Influenza,[Cefdinir]
2404,Vulvovaginitis gonococcal,[Ceftriaxone]
2405,GERD With Erosive Esophagitis,[Pantoprazole]
2406,Epiglottitis,[Ceftriaxone]
2407,Mild Idiopathic Pulmonary Fibrosis,[Pirfenidone]
2408,Toothache,[Naproxen]
2409,Relapsed Chronic Lymphocytic Leukemia,[Idelalisib]
2410,"Unresectable, locally advanced Pancreatic Neuroendocrine Tumors",[Sunitinib]
2411,Moderate Pneumocystis pneumonia,[Dapsone]
2412,Bacterial Infection caused by Serratia marcescens,[Kanamycin]
2413,Radiollabeling,[Yttrium Y-90]
2414,Gynecomastia,[Tamoxifen]
2415,Severe Contact dermatitis,[Betamethasone]
2416,"Dermatitis, Eczematous",[Clobetasone]
2417,Acute Malaria,[Pyrimethamine]
2418,Chlamydial cervicitis,[Doxycycline]
2419,Bacterial dacryocystitis,[Gentamicin]
2420,Muscarinic effects caused by pyridostigmine,[Glycopyrronium]
2421,Urinary tract candidiasis,[Fluconazole]
2422,Intraoperative miosis,[Ketorolac]
2423,Concomitant myelosuppressive chemotherapy,[Iron]
2424,Postoperative pain,[Promethazine]
2425,Acute radiation sickness,[Potassium Iodide]
2426,Symptomatic euvolemic Hyponatremia,[Tolvaptan]
2427,Tinea Corporis caused by Epidermophyton floccosumin,[Ketoconazole]
2428,Hypertrophic Cardiomyopathy,[Verapamil]
2429,Postpartum Bleeding,[Oxytocin]
2430,Gastrointestinal Bleed,[Lansoprazole]
2431,Severe disruptive behaviour disorder,[Haloperidol]
2432,"Tumors, Solid",[Technetium Tc-99m tilmanocept]
2433,Pneumonia caused by susceptible pneumococci,[Procaine benzylpenicillin]
2434,Neisseria Gonorrhoeae Infection,[Tetracycline]
2435,Idiopathic Anaphylaxis,[Epinephrine]
2436,"Angina Pectoris, Variant",[Diltiazem]
2437,"Encephalitis, Herpes Simplex",[Acyclovir]
2438,Fracture Bone,[Denosumab]
2439,Vitamin B12 concentration,[CyanocobalaminCommonly known or available as Vitamin B12]
2440,Refractory Complex partial seizures,[Vigabatrin]
2441,"Eczema, Dermatitis",[Bendazac]
2442,Severe Fredrickson Type IV Hypertriglyceridemia,[Fenofibrate]
2443,Eating Disorders Symptoms,[Trazodone]
2444,Mottled hyperpigmentation,[Tretinoin]
2445,Obstructive Sleep Apnea (OSA),[Modafinil]
2446,"Recurrent, metastatic Colorectal carcinoma",[Irinotecan]
2447,Moderate Dermatitis caused by Staphylococcus aureusis,[Fusidic acid]
2448,C-cell hyperplasia,[Pentagastrin]
2449,Mild Angioedema,[Triprolidine]
2450,Menstrual syndrome,[Bromotheophylline]
2451,Perinatal HIV transmission,[Zidovudine]
2452,Poisoning caused by organophosphate anticholinesterase nerve agents,[Atropine]
2453,FAB classification M3 Acute promyelocytic leukemia,[Tretinoin]
2454,Refractory Erdheim-Chester disease,[Vemurafenib]
2455,Skin fissures,[Bendazac]
2456,Manic depressive illness,[Maprotiline]
2457,Neurodermatitis,[Bendazac]
2458,Chronic Urticaria,[Zafirlukast]
2459,Bacterial upper respiratory tract infections,[Tetracycline]
2460,Supravalvular Aortic Stenosis,[Gadobutrol]
2461,Colitis,[Clindamycin]
2462,FIP1L1-PDGFRα fusion kinase status unknown Hypereosinophilic syndrome,[Imatinib]
2463,Unresectable Thymoma,[Pemetrexed]
2464,Bloating,[Magaldrate]
2465,Congenital carnitine deficiency,[Levocarnitine]
2466,Soman nerve gas poisoning,[Pyridostigmine]
2467,Schistosoma infection,[Praziquantel]
2468,Abscesses,[Micafungin]
2469,Upper Respiratory Tract Infection caused by susceptible streptococci,[Procaine benzylpenicillin]
2470,Systemic Juvenile Idiopathic Arthritis (SJIA),[Tocilizumab]
2471,Metabolic Acidosis,[Sodium bicarbonate]
2472,Eczema of the nuchal nape of the neck,[Clioquinol]
2473,Circulatory collapse and shock,[Dopamine]
2474,Atrophy of vulva,[Conjugated estrogens]
2475,Refractory Waldenstrom's Macroglobulinaemia,[Everolimus]
2476,Hemmorhoids,[Domiphen]
2477,Severe Serum sickness,[Betamethasone]
2478,"Corticosteroid responsive, pruritic Dermatosis",[Hydrocortisone butyrate]
2479,Intracranial Germ Cell Tumors,[Bleomycin]
2480,Typhus Fever,[Doxycycline]
2481,Uncomplicated Gonorrhea caused by Neisseria gonorrhoeae,[Ciprofloxacin]
2482,Anal chlamydia infection,[Doxycycline]
2483,Mild Pneumocystis pneumonia,[Dapsone]
2484,Secondary Hypogonadotrophic hypogonadism,[Chorionic Gonadotropin (Human)]
2485,Acute otitis externa caused by Staphylococcus aureus,[Ciprofloxacin]
2486,Hypertonic uterine contraction,[Atropine]
2487,Acute Intermittent Porphyria (AIP),[Chlorpromazine]
2488,Prophylaxis of Aspergillus infection,[Posaconazole]
2489,Parkinson's Disease Psychosis,[Pimavanserin]
2490,Non-nasal symptoms,[Desloratadine]
2491,Giant cell tumor of the bone,[Denosumab]
2492,CMV colitis,[Ganciclovir]
2493,Stage 4 Pancreatic adenocarcinoma,[Gemcitabine]
2494,Lower Respiratory Infection,[Metronidazole]
2495,Laughing,[Atropine]
2496,Symptomatic Venous Thromboembolism,[Dalteparin]
2497,Hypermobility of the colon,[Atropine]
2498,Fungal infection of nail,[Miconazole]
2499,Advanced Prostate Carcinoma,[Cyproterone acetate]
2500,Prophylaxis of migraine headaches,[Diltiazem]
2501,Gnathostomiasis,[Ivermectin]
2502,Acute Exacerbation of Psychosis,[Zuclopenthixol]
2503,Barbiturate intoxication,[Sodium bicarbonate]
2504,Cystic tumors of aponeurosis,[Bupivacaine]
2505,Stye,[Framycetin]
